标准编号 	标准名称 										
5 	拉布机 	8 	              187.69   	127.24   	67.79% 						
6 	前道生产线 	1 	              117.95   	  91.80   	77.83% 						
7 	智能家纺吊挂系统 	1 	              104.10   	  80.20   	77.04% 						
8 	喷胶棉生产线 	1 	                92.00   	   3.68   	4.00% 						
											
序号 	证书编号 	所有权人 	建筑面积（㎡） 	用途 	地点 						
											
1 	沪房地奉字（2013）第009284 号 	水星家纺 	42,429.53   	厂房 	奉贤区沪杭公路 1487 号 						
											
2 	沪房地奉字（2015）第011642 号（注） 	水星家纺 	12,118.81   	厂房 	奉贤区奉金路 99 号 						
											
3 	石房权证东字第250001460 号 	水星家纺 	379.41   	商业服务 	桥东区和平东路 7号荣景园 12-105 						
											
4 	石房权证长字第150002211 号 	水星家纺 	366.50   	商业服务 	长安区谈固东街 35 号东方魅力商住大厦 1-102 						
											
5 	沪房地奉字（2013）第012133 号 	百丽丝 	43,139.39   	厂房 	奉贤区同谊路 333 号 						
											
6 	海安房权证城东镇字第2014011050 号 	海安水星 	22,409.65   	非居住 	城东镇东海大道（东）109号 12 室，13 室，4 室，5室，6 室，7 室 						
											
7 	海安房权证城东镇字第2014011051 号 	海安水星 	3,040.70   	非居住 	城东镇东海大道（东）109号 10 室，11 室 						
											
8 	海安房权证城东镇字第2014011052 号 	海安水星 	55,837.12   	非居住 	城东镇东海大道（东）109号 1,2,3,8,9 及连廊室 						
											
序号 	证书编号 	证书编号 	所有权人 	使用权面积（㎡） 	使用权面积（㎡） 	权利期限截止日期 	权利期限截止日期 	用途 	取得方式 	取得方式 	地点 
											
1 	沪房地奉字（2013）第009284 号 	沪房地奉字（2013）第009284 号 	水星家纺 	37,917 	37,917 	2056.2.20 	2056.2.20 	工业用地 	出让 	出让 	奉贤区沪杭公路1487 号 
											
2 	沪房地奉字（2015）第011642 号 	沪房地奉字（2015）第011642 号 	水星家纺 	75,565 	75,565 	2053.4.23 	2053.4.23 	工业 	出让 	出让 	奉贤区奉金路 99号 
											
3 	沪房地奉字（2013）第012133 号 	沪房地奉字（2013）第012133 号 	百丽丝 	25,110.6 	25,110.6 	2056.11.19 	2056.11.19 	工业用地 	出让 	出让 	奉贤区同谊路333 号 
											
4 	苏海国用（2012）第X801023 号 	苏海国用（2012）第X801023 号 	海安水星 	38,266.00 	38,266.00 	2062.1.29 	2062.1.29 	工业（221） 	出让 	出让 	海安县城东镇丰产村 3 组 
											
5 	苏海国用（2012）第X801135 号 	苏海国用（2012）第X801135 号 	海安水星 	50,592.20 	50,592.20 	2062.5.9 	2062.5.9 	工业(221) 	出让 	出让 	城东镇丰产村 2、3 组 
											
6 	苏海国用	苏海国用	海安水星 	31,306.00 	31,306.00 	2062.5.9 	2062.5.9 	工业	出让 	出让 	城东镇丰产村 3
序号 	证书编号 	证书编号 	所有权人 	使用权面积（㎡） 	使用权面积（㎡） 	权利期限截止日期 	权利期限截止日期 	用途 	取得方式 	取得方式 	地点 
											
（2012）第X801136 号 	（2012）第X801136 号 	(221) 	组 								
											
苏海国用（2013）第X801030 号 	苏海国用（2013）第X801030 号 	海安水星 	13,492.00 	13,492.00 	2063.3.19 	2063.3.19 	工业(221) 	出让 	出让 	城东镇丰产村 2、3 组 	
											
序号 	承租人 	出租人 	房屋地址 	房屋地址 	面积（㎡） 	面积（㎡） 	租赁期限 	租赁用途 			
1 	水星股份 	谢炳坤 	上海市徐汇区衡山路922 号 28 楼 	上海市徐汇区衡山路922 号 28 楼 	1,068.24 	1,068.24 	2015.1.1- 2018.12.31 	人员办公 			
2 	水星股份 	陈建华、卫颋、汤永莲、卫颖、焦建人、严俊、张恩源、焦点 	上海市奉贤区南桥南中路 8、10、12、14、16 号 	上海市奉贤区南桥南中路 8、10、12、14、16 号 	417.09 	417.09 	2015.8.8- 2020.8.7 	门店经营 			
3 	水星股份 	全林红、吕一心 	上海市金山石化镇卫清西路 961、963、965号 	上海市金山石化镇卫清西路 961、963、965号 	350.00 	350.00 	2016.1.1- 2021.12.31 	门店经营 			
4 	水星股份 	上海盛竹投资管理有限公司 	上海市浦东新区梅花路 915 号 1 层 	上海市浦东新区梅花路 915 号 1 层 	107.43 	107.43 	2016.9.15- 2019.9.14 	门店经营 			
5 	水星股份 	周大娟 	上海市徐汇区虹桥路602 号 	上海市徐汇区虹桥路602 号 	94.38 	94.38 	2017.4.17- 2020.4.16 	门店经营 			
6 	水星股份 	陈登峰、陈高峰、陈贤青、高甩青 	上海市普陀区长寿路699 号 102 室 	上海市普陀区长寿路699 号 102 室 	545.61 	545.61 	2014.9.16- 2019.9.15 	门店经营 			
7 	水星股份 	陈建华、张凤仙、卫颋、卫颖 	上海市奉贤区南中路5 号，7 号，9 号，11号 	上海市奉贤区南中路5 号，7 号，9 号，11号 	146.37 	146.37 	2015.8.8- 2020.8.7 	门店经营 			
8 	水星股份 	上海煦新企业管理有限公司 	上海市奉贤宝龙城市广场 9 号楼第 1+2 层742 商铺一间 	上海市奉贤宝龙城市广场 9 号楼第 1+2 层742 商铺一间 	362.04 	362.04 	2015.9.30- 2020.9.29 	门店经营 			
9 	水星股份 	上海艾婴乐实业有限公司 	上海市奉贤区南桥镇西渡工业区奉金路558 号 3 幢、5 幢厂房 	上海市奉贤区南桥镇西渡工业区奉金路558 号 3 幢、5 幢厂房 	9,680.00 	9,680.00 	2016.1.15- 2018.1.14 	仓储 			
10 	百丽丝 	杨华妹 	上海市延吉中路 549号 	上海市延吉中路 549号 	120.00 	120.00 	2016.10.1- 2021.9.30 	门店经营 			
11 	河北水星 	水星股份 	石家庄市长安区谈固	石家庄市长安区谈固	339.68 	339.68 	2012.10.1- 	门店经营 			
序号 	承租人 	出租人 	房屋地址 	房屋地址 	面积（㎡） 	面积（㎡） 	租赁期限 	租赁用途 			
东街 35 号东方魅力商住大厦 1-102 	东街 35 号东方魅力商住大厦 1-102 	2022.9.30 									
石家庄市桥东区和平东路 7 号荣景园12-105 	石家庄市桥东区和平东路 7 号荣景园12-105 	313.49 	313.49 	2012.5.1- 2022.4.30 	门店经营 	门店经营 					
石家庄市西三庄大街165 号 	石家庄市西三庄大街165 号 	891.00 	891.00 	2015.1.1- 2017.12.31 	门店经营 	门店经营 					
石家庄市西三庄大街165 号 	石家庄市西三庄大街165 号 	199.00 	199.00 	2015.1.1- 2017.12.31 	门店经营 	门店经营 					
石家庄友谊北大街35 号 	石家庄友谊北大街35 号 	150.00 	150.00 	2013.4.11- 2017.5.20 	门店经营 	门店经营 					
杭州市现代置业大厦东楼 718 室 	杭州市现代置业大厦东楼 718 室 	66.59 	66.59 	2014.8.1- 2017.7.31 	人员办公 	人员办公 					
杭州市滨江区西兴工业园聚园路 12 号 	杭州市滨江区西兴工业园聚园路 12 号 	690.00 	690.00 	2016.1.25- 2021.1.24 	仓储 	仓储 					
杭州市建国北路 512号 	杭州市建国北路 512号 	320.83 	320.83 	2013.8.1- 2019.7.31 	门店经营 	门店经营 					
杭州市萍水街 506、508 号 	杭州市萍水街 506、508 号 	260.00 	260.00 	2016.8.13- 2019.5.30 	门店经营 	门店经营 					
杭州市上城区复兴南街 361 号、化仙桥路61 号 	杭州市上城区复兴南街 361 号、化仙桥路61 号 	161.28 	161.28 	2014.9.15- 2017.9.14 	门店经营 	门店经营 					
杭州市滨江区春晓路548、550、552 号 	杭州市滨江区春晓路548、550、552 号 	396.43 	396.43 	2016.5.1- 2018.4.30 	门店经营 	门店经营 					
杭州锦昌文华苑 68、69 号 	杭州锦昌文华苑 68、69 号 	93.62 	93.62 	2015.4.8- 2019.5.22 	门店经营 	门店经营 					
杭州市萧山区工人路905 号 	杭州市萧山区工人路905 号 	288.00 	288.00 	2012.10.1- 2020.10.31 	门店经营 	门店经营 					
杭州永波街 172 号 	杭州永波街 172 号 	239.30 	239.30 	2014.4.15- 2019.4.14 	门店经营 	门店经营 					
杭州市湖墅南路 78-1号 	杭州市湖墅南路 78-1号 	170.00 	170.00 	2017.3.1- 2020.2.29 	门店经营 	门店经营 					
杭州市文三西路194、196 号 	杭州市文三西路194、196 号 	174.24 	174.24 	2015.4.15- 2019.5.19 	门店经营 	门店经营 					
杭州市西湖区留下路西溪梅园 4-2 号 	杭州市西湖区留下路西溪梅园 4-2 号 	96.03 	96.03 	2016.2.15- 2022.2.14 	门店经营 	门店经营 					
北京市东城区交道口	北京市东城区交道口	270.00 	270.00 	2014.11.10- 	人员办公 	人员办公 					
序号 	承租人 	出租人 	房屋地址 	房屋地址 	面积（㎡） 	面积（㎡） 	租赁期限 	租赁用途 			
物业管理中心 	东大街 8 号楼一层 	东大街 8 号楼一层 	2017.11.9 								
北京华泰永盛仓储服务有限公司 	朝阳区广渠路 1 号商业储运公司大楼209、216 仓库房 	朝阳区广渠路 1 号商业储运公司大楼209、216 仓库房 	342.48 	342.48 	2017.3.25- 2017.9.24 	仓储 	仓储 				
上海水星商务信息咨询有限公司 	上海市奉贤区肖玻路128 号 	上海市奉贤区肖玻路128 号 	14,935.74 	14,935.74 	2017.1.1- 2017.12.31 	人员办公、仓储 	人员办公、仓储 				
南通水星电动工具有限公司 	海门工业区三星召良村三组 	海门工业区三星召良村三组 	15,424.80 	15,424.80 	2017.1.1- 2017.12.31 	人员办公、仓储 	人员办公、仓储 				
百丽丝 	上海市奉贤区同谊路333 号 	上海市奉贤区同谊路333 号 	33,383.33 	33,383.33 	2017.1.1- 2017.12.31 	生产、仓储 	生产、仓储 				
陈应弟、曾锡来 	上海市松江区中山二路 154 号 	上海市松江区中山二路 154 号 	110.19 	110.19 	2016.5.1- 2021.4.30 	门店经营 	门店经营 				
韩雷 	上海市奉贤区南奉公路 1995-1997 号 	上海市奉贤区南奉公路 1995-1997 号 	299.72 	299.72 	2016.8.1- 2021.7.31 	门店经营 	门店经营 				
上海大骏物业管理有限公司 	上海市奉贤区金汇镇金闸公路 599 号一层1303 号 	上海市奉贤区金汇镇金闸公路 599 号一层1303 号 	97 	97 	2016.11.7- 2019.11.6 	门店经营 	门店经营 				
上海宝龙康骏房产开发有限公司 	上海市阿克苏路1099 号 1 号楼 1 层1105-1109 	上海市阿克苏路1099 号 1 号楼 1 层1105-1109 	228.7 	228.7 	2016.9.23- 2021.9.22 	门店经营 	门店经营 				
上海镌新企业管理有限公司 	上海市漕宝路 3299号七宝宝龙 B1 层208/210/212 	上海市漕宝路 3299号七宝宝龙 B1 层208/210/212 	100 	100 	2016.6.18- 2019.6.17 	门店经营 	门店经营 				
贯丽、陈睿 	合肥市长江中路 319号仁和大厦 1305 室 	合肥市长江中路 319号仁和大厦 1305 室 	134.45 	134.45 	2016.12.17- 2019.12.16 	人员办公 	人员办公 				
石家庄华夏商贸股份有限公司 	石家庄桥西东风路B1 一层 84 号 	石家庄桥西东风路B1 一层 84 号 	75.2 	75.2 	2017.4.8- 2018.4.7 	门店经营 	门店经营 				
凌祥 	无锡市梁溪区南长街7、9 号 	无锡市梁溪区南长街7、9 号 	210 	210 	2017.4.1- 2018.3.31 	人员办公 	人员办公 				
上海臻龙置业有限公司 	上海市奉贤区奉浦开发区北一路 18 号 	上海市奉贤区奉浦开发区北一路 18 号 	19,980.00 	19,980.00 	2016.9.18- 2018.6.17 	仓储 	仓储 				
王嘉明 	北京市通州区万达广场 	北京市通州区万达广场 	92.00 	92.00 	2017.3.15- 2023.3.14 	门店经营 	门店经营 				
黄东 	合肥市庐阳区徽州大道 71 号 	合肥市庐阳区徽州大道 71 号 	270.00 	270.00 	2017.3.20- 2020.3.19 	门店经营 	门店经营 				
李章云 	石家庄市胜利北街	石家庄市胜利北街	185.00 	185.00 	2017.5.15- 2021.5.14 	门店经营 	门店经营 				
序号 	承租人 	出租人 	房屋地址 	房屋地址 	面积（㎡） 	面积（㎡） 	租赁期限 	租赁用途 			
386 号 	386 号 										
总计 	总计 	总计 	总计 	总计 	总计 	103,879.26 	103,879.26 	- 	- 		
											
12 	河北水星 	水星股份 									
13 	河北水星 	石家庄紫光艺术品有限公司 									
14 	河北水星 	石家庄紫光艺术品有限公司 									
15 	河北水星 	石家庄东聚物业服务有限公司 									
16 	浙江星贵 	贾大干 									
17 	浙江星贵 	杭州茂源车业有限公司 									
18 	浙江星贵 	杭州市下城区商业贸易有限公司 									
19 	浙江星贵 	陈永达 									
20 	浙江星贵 	徐益英、徐慧英 									
21 	浙江星贵 	施鑫 									
22 	浙江星贵 	张邨、周汤艳 									
23 	浙江星贵 	董丽霞 									
24 	浙江星贵 	杭州梦舟实业有限公司 									
25 	浙江星贵 	杭州至正广告有限公司 									
26 	浙江星贵 	马云菊 									
27 	浙江星贵 	艾发弟、杨仕春 									
28 	北京水星 	北京鑫企旺									
											
29 	北京水星 										
30 	水星电子商务 										
31 	海门水星 										
32 	上海水星 										
33 	水星股份 										
34 	百丽丝 										
35 	水星股份 										
36 	水星股份 										
37 	水星股份 										
38 	水星股份 										
39 	河北水星 										
40 	无锡水星家纺有限公司 										
41 	水星股份 										
42 	北京水星 										
43 	合肥莫克瑞 										
44 	河北水星 										
											
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
1 	1815217 	 	24 	2002.7.28- 2022.7.27 	发行人 						
2 	1460673 	 	24 	2010.10.21- 2020.10.20 	发行人 						
3 	1488680 	 	24 	2010.12.14- 2020.12.13 	发行人 						
4 	1492664 	 	24 	2010.12.21- 2020.12.20 	发行人 						
5 	1389733 	  	18 	2010.4.28- 2020.4.27 	发行人 						
6 	4348591 	 	22 	2008.8.21- 2018.8.20 	发行人 						
7 	1426033 	 	24 	2010.7.28- 2020.7.27 	发行人 						
8 	1426034 	 	24 	  2010.7.28- 2020.7.27 	发行人 						
9 	1426035 	 	24 	2010.7.28- 2020.7.27 	发行人 						
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
10 	1310717 	  	24 	2009.9.7- 2019.9.6 	发行人 						
11 	4861666 	 	24 	2010.9.7- 2020.9.6 	发行人 						
12 	4464628 	  	24 	2009.1.7- 2019.1.6 	发行人 						
13 	4464623 	 	22 	2008.11.7- 2018.11.6 	发行人 						
14 	5089196 	  	22 	2010.2.7- 2020.2.6 	发行人 						
15 	4464627 	 	23 	2008.11.7- 2018.11.6 	发行人 						
16 	5089198 	 	11 	2009.3.21- 2019.3.20 	发行人 						
17 	5089197 	 	20 	2009.5.7- 2019.5.6 	发行人 						
18 	4861665 	 	24 	2010.5.14- 2020.5.13 	发行人 						
19 	5089195 	 	23 	2010.4.14- 2020.4.13 	发行人 						
20 	6801354 	 	11 	2010.7.7- 2020.7.6 	发行人 						
21 	6801358 	 	20 	2010.4.21- 2020.4.20 	发行人 						
22 	6801363 	 	11 	 2010.7.7-  2020.7.6 	发行人 						
23 	8440499 	 	24 	2011.7.14- 2021.7.13 	发行人 						
24 	8440510 	 	24 	2011.7.14- 2021.7.13 	发行人 						
25 	9742530 	 	26 	2012.9.14- 2022.9.13 	发行人 						
26 	9742613 	 	26 	2012.9.14- 2022.9.13 	发行人 						
27 	9742810 	 	27 	2012.9.14- 2022.9.13 	发行人 						
28 	9742406 	 	4 	2012.11.28- 2022.11.27 	发行人 						
29 	9742926 	 	40 	2012.11.21- 2022.11.20 	发行人 						
30 	9743177 	 	40 	2012.11.21- 2022.11.20 	发行人 						
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
31 	9517532 	 	24 	2014.1.7- 2024.1.6 	发行人 						
32 	9742473 	 	4 	2014.1.7- 2024.1.6 	发行人 						
33 	9742576 	 	26 	2014.1.7- 2024.1.6 	发行人 						
34 	10908053 	 	24 	2013.8.21- 2023.8.20 	发行人 						
35 	10908123 	 	24 	2013.11.7- 2023.11.6 	发行人 						
36 	10908074 	 	24 	2013.12.7- 2023.12.6 	发行人 						
37 	10908102 	 	24 	2013.11.21- 2023.11.20 	发行人 						
38 	8481965 	 	27 	2015.1.20- 2021.11.06 	发行人 						
39 	14398731 	 	25 	2015.5.28- 2025.5.27 	发行人 						
40 	14398772 	 	25 	2015.5.28- 2025.5.27 	发行人 						
41 	14398900 	 	27 	2015.5.28- 2025.5.27 	发行人 						
42 	13974829 	 	24 	2015.4.7- 2025.4.6 	发行人 						
43 	13974888 	 	27 	2015.4.7- 2025.4.6 	发行人 						
44 	13974843 	 	24 	2015.4.7- 2025.4.6 	发行人 						
45 	13974907 	 	27 	2015.4.7- 2025.4.6 	发行人 						
46 	11569877 	 	25 	2015.9.7- 2025.9.6 	发行人 						
47 	13292644 	 	24 	2015.9.7- 2025.9.6 	发行人 						
48 	13292726 	 	27 	2015.8.21- 2025.8.20 	发行人 						
49 	13292698 	 	25 	2015.8.28- 2025.8.27 	发行人 						
50 	14399173 	 	18 	2015.12.14-2025.12.13 	发行人 						
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
51 	13292585 	 	20 	2015.11.14-2025.11.13 	发行人 						
52 	14398604 	 	20 	2016.3.21-2026.3.20 	发行人 						
53 	14396609 	 	24 	2016.3.21-2026.3.20 	发行人 						
54 	3187706 	   	24 	2014.05.28- 2024.05.27 	百丽丝 						
55 	3542303 	  	24 	2015.05.28- 2025.05.27 	百丽丝 						
56 	3542304 	 	24 	2015.05.28- 2025.05.27 	百丽丝 						
57 	3542305 	 	20 	2015.01.21- 2025.01.20 	百丽丝 						
58 	5056014 	 	20 	2009.5.28- 2019.5.27 	百丽丝 						
59 	4348592 	 	22 	2008.10.14- 2018.10.13 	百丽丝 						
60 	8435748 	 	24 	2011.7.14- 2021.07.13 	百丽丝 						
61 	8435775 	 	24 	2011.7.14- 2021.07.13 	百丽丝 						
62 	8435760 	  	24 	2011.7.14- 2021.07.13 	百丽丝 						
63 	9739007 	 	40 	2012.9.14- 2022.9.13 	百丽丝 						
64 	9739035 	 	40 	2012.9.7- 2022.9.6 	百丽丝 						
65 	9747861 	 	4 	2012.9.14- 2022.9.13 	百丽丝 						
66 	9747960 	 	26 	2012.9.14- 2022.9.13 	百丽丝 						
67 	9747990 	 	27 	2012.9.14- 2022.9.13 	百丽丝 						
68 	8430254 	 	20 	2013.1.14- 2023.1.13 	百丽丝 						
69 	8430264 	 	20 	2013.3.7- 2023.3.6 	百丽丝 						
70 	8430244 	 	20 	2013.4.21- 2023.4.20 	百丽丝 						
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
71 	10889039 	 	20 	2013.08.14- 2023.08.13 	百丽丝 						
72 	10889100 	 	25 	2013.08.21- 2023.08.20 	百丽丝 						
73 	10889132 	 	27 	2013.08.14- 2023.08.13 	百丽丝 						
74 	9747915 	 	16 	2015.3.28- 2025.3.27 	百丽丝 						
75 	9748027 	 	35 	2014.08.21- 2024.08.20 	百丽丝 						
76 	11902248 	 	24 	2014.05.28- 2024.05.27 	百丽丝 						
77 	3731476 	 	20 	2006.01.28-2026.01.27 	百丽丝 						
78 	8407170 	 	3 	2011.6.28- 2021.6.27 	电子商务 						
79 	8419726 	 	4 	2011.7.7- 2021.7.6 	电子商务 						
80 	8419736 	 	4 	2011.7.7- 2021.7.6 	电子商务 						
81 	8419744 	 	4 	2011.7.7- 2021.7.6 	电子商务 						
82 	8419756 	 	8 	2011.7.7- 2021.7.6 	电子商务 						
83 	8419762 	 	8 	2011.7.7- 2021.7.6 	电子商务 						
84 	8419768 	 	8 	2011.7.7- 2021.7.6 	电子商务 						
85 	8424238 	 	11 	2011.7.14- 2021.7.13 	电子商务 						
86 	8424267 	 	20 	2011.7.14- 2021.7.13 	电子商务 						
87 	8424299 	 	21 	2011.7.14- 2021.7.13 	电子商务 						
88 	8430159 	 	24 	2011.7.14- 2021.7.13 	电子商务 						
89 	8430171 	 	24 	2011.7.14- 2021.7.13 	电子商务 						
序号 	注册证号 	商标图像 	核定使用商品类别 	有效期限 	权利人 						
90 	8430184 	 	27 	2011.7.14- 2021.7.13 	电子商务 						
91 	8430189 	 	27 	2011.7.14- 2021.7.13 	电子商务 						
92 	8430200 	 	27 	2011.7.14- 2021.7.13 	电子商务 						
93 	8424304 	 	21   	2013.1.7- 2023.1.6 	电子商务 						
94 	8424322 	 	24 	2012.11.21- 2022.11.20 	电子商务 						
95 	8424273 	 	20   	2013.1.21- 2023.1.20 	电子商务 						
96 	8407182 	 	3 	2012.11.21- 2022.11.20 	电子商务 						
97 	8424259 	 	20 	2013.1.28- 2023.1.27 	电子商务 						
98 	8424233 	 	11 	2013.2.28- 2023.2.27 	电子商务 						
99 	8424244 	 	11 	2013.2.7- 2023.2.6 	电子商务 						
100 	8407162 	 	3 	2013.07.14- 2023.07.13 	电子商务 						
101 	8424295 	 	21 	2013.04.21- 2023.04.20 	电子商务 						
102 	10907251 	 	22 	2013.08.14- 2023.08.13 	电子商务 						
103 	10907297 	 	23 	2013.8.21- 2023.8.20 	电子商务 						
104 	10907415 	 	25 	2013.08.14- 2023.08.13 	电子商务 						
											
序号 	注册号 	商标图像 	核定使用类别 	有效期限 	注册地 	权利人 					
1 	302083176 	 	24（依《尼斯分类》） 	2011.11.11- 2021.11.10 	中国香港 	发行人 					
序号 	注册号 	商标图像 	核定使用类别 	有效期限 	注册地 	权利人 					
2 	302609262 	 	24（依《尼斯分类》） 	2013.5.16- 2023.5.15 	中国香港 	发行人 					
3 	303044213 	 	24（依《尼斯分类》） 	2014.6.23- 2024.6.22 	中国香港 	发行人 					
4 	01439631 	 	24（依台湾商标法施行细则第 13 条第 24 类） 	2010.11.16-2020.11.15 	中国台湾 	发行人 					
5 	01441845 	 	24（依台湾商标法施行细则第 13 条第 24 类） 	2010.12.1- 2020.11.30 	中国台湾 	发行人 					
6 	975943 	 	24（依《尼斯分类》，下同） 	2008.7.1- 2018.7.1 	英国 丹麦 新加坡 澳大利亚 爱尔兰 	发行人 					
7 	4252849 	 	24 	2012.12.4- 2022.12.4 	美国 	发行人 					
8 	4736320 	 	20、24、27 	2015.5.12- 2025.5.12 	美国 	发行人 					
9 	838187 	 	24 28 	2004.9.10- 2024.9.10 	英国 德国 法国 澳大利亚 俄罗斯 	发行人 					
10 	839229 	 	24 	2004.7.16- 2024.7.16 	德国 法国 	百丽丝 					
11 	978147 	 	24 	2008.7.15- 2018.7.15 	丹麦 芬兰 新加坡 爱尔兰 	百丽丝 					
											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
1 	发明 	一种可水洗负离子羊毛纤维的制备方法及其在家纺产品中的应用 	ZL201210530021.5 	1848242 	2012.12.10-2032.12.9 						
2 	发明 	一种棉短绒纤维的制备方法 	ZL201310079782.8 	1741774 	2013.3.13- 						
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
2033.3.12 											
2012.12.10- 2032.12.9 											
2011.6.20- 2031.6.19 											
2012.12.10- 2032.12.9 											
2011.12.30- 2031.12.29 											
2013.3.13- 2033.3.12 											
2011.7.15- 2031.7.14 											
2010.12.30- 2030.12.29 											
2010.12.30- 2030.12.29 											
2011.4.7- 2021.4.6 											
2009.7.21- 2029.7.20 											
2011.4.2- 2021.4.1 											
2011.4.7- 2031.4.6 											
2010.12.30-2030.12.29 											
2009.7.16- 2029.7.15 											
2009.7.16- 2029.7.15 											
2010.9.25- 2030.9.24 											
2008.10.6- 2028.10.5 											
2009.7.16- 2029.7.15 											
2009.7.16- 2029.7.15 											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
22 	发明 	一种负离子技术制备蚕丝的方法及其在家纺产品中的应用 	ZL200910054874.4 	748776 	2009.7.16- 2029.7.15 						
23 	发明 	聚对苯二甲酸-共-丁二酸丁二醇酯纤维 	ZL200610118400.8 	422179 	2006.11.16-2026.11.15 						
24 	发明 	一种复合纱及其制备和应用 	ZL03129505.3 	324123 	2003.6.25- 2023.6.24 						
25 	发明 	制冷-加热毯 	ZL200810167244.3 	687906 	2014.7.11- 2028.10.15 						
26 	发明 	一种长效除臭除异味芯被面料的制备方法 	ZL201310750273.3 	2089385 	2013.12.31-2023.12.30 						
27 	发明 	一种 PTT 纤维精梳仿毛面料的制备方法 	ZL201310750261.0 	2088753 	2013.12.31-2023.12.30 						
28 	实用新型 	制冷-加热毯 	ZL200820139822.8 	1308021 	2014.7.10- 2018.10.14 						
29 	实用新型 	快速接插件 	ZL201020229776.8 	1653068 	2014.7.23- 2020.6.17 						
30 	实用新型 	毯体分流器 	ZL201020229759.4 	1658561 	2014.7.14- 2020.6.17 						
31 	实用新型 	制冷制热控制电路 	ZL201020260362.1 	1715542 	2014.7.14- 2020.7.15 						
32 	实用新型 	水制冷制热系统 	ZL201020229772.X 	1775148 	2014.7.23- 2020.6.17 						
33 	实用新型 	水毯式制冷制热装置 	ZL201020543778.4 	1776077 	2014.7.28- 2020.9.27 						
34 	实用新型 	一种组和合,情侣被 	ZL201420482442.X 	4105740 	2014.8.25- 2024.8.24 						
35 	实用新型 	一种棕榈凉席 	ZL201320458502.X 	3455685 	2013.7.30- 2023.7.29 						
36 	实用新型 	一种 3D 乳胶枕 	ZL201220609109.1 	2901869 	2012.11.16- 2022.11.15 						
37 	实用新型 	一种多功能水洗亲肤被 	ZL201220606044.5 	2902349 	2012.11.16- 2022.11.15 						
38 	实用新型 	一种竹纤维双面凹凸被 	ZL201220606045.X 	2902250 	2012.11.16- 2022.11.15 						
39 	实用新型 	一种抗菌防螨鹅绒被 	ZL201220459033.9 	2772942 	2012.9.10- 2022.9.9 						
40 	实用新型 	三层夹心被子 	ZL201120572053.2 	2539660 	2011.12.30-2021.12.29 						
41 	实用新型 	一种两用双面席 	ZL201120314336.7 	2228240 	2011.8.24- 2021.8.23 						
42 	实用新型 	三层立体羽绒枕 	ZL201120314724.5 	2199612 	2011.8.24- 						
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
2021.8.23 											
2011.8.24- 2021.8.23 											
2011.8.24- 2021.8.23 											
2011.7.15- 2021.7.14 											
2011.5.30- 2021.5.29 											
2011.11.18- 2021.11.17 											
2010.9.8- 2020.9.7 											
2010.9.8- 2020.9.7 											
2010.9.8- 2020.9.7 											
2010.9.8- 2020.9.7 											
2010.9.8- 2020.9.7 											
2010.9.17- 2020.9.16 											
2010.9.17- 2020.9.16 											
2010.9.17- 2020.9.16 											
2010.9.17- 2020.9.16 											
2010.9.8- 2020.9.7 											
2010.9.8- 2020.9.7 											
2010.6.10- 2020.6.9 											
2010.6.10- 2020.6.9 											
2010.6.10- 2020.6.9 											
2010.6.10- 2020.6.9 											
2010.1.5- 											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
2020.1.4 											
2009.4.9- 2019.4.8 											
2008.2.25- 2018.2.24 											
2007.4.2- 2017.4.1 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.20- 2025.1.19 											
2015.1.26- 											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
床单式） 	2025.1.25 										
仿藤凉席二件套（玫瑰花泉抗菌防螨提花） 	ZL201530022101.4 	3319407 	2015.1.26- 2025.1.25 								
生态水毯主机 	ZL201030150120.2 	1383097 	2014.7.23- 2020.4.26 								
面料（艾茉莉） 	ZL201330451472.5 	2963001 	2013.9.22- 2023.9.21 								
面料（奥斯丁玫瑰） 	ZL201330451428.4 	2840029 	2013.9.22- 2023.9.21 								
面料（西西里椰炭） 	ZL201330451513.0 	2812498 	2013.9.22- 2023.9.21 								
